category,label_id,image_path,feature_mean,feature_std,feature_min,feature_max,feature_median,pca_component_1,pca_component_2,pca_component_3,pca_component_4,pca_component_5,pca_component_6,pca_component_7,pca_component_8,pca_component_9,pca_component_10
bon,0,data/augmented\bon\aug_IMG-20250224-WA0052_0_6993.jpg,0.58827233,0.68925416,0.0,3.6454947,0.33218658,6.341974,0.87115824,-3.9474382,2.5047169,-1.2116317,2.6912973,-1.2889782,-0.43895346,-1.3888375,-0.41378593
bon,0,data/augmented\bon\aug_IMG-20250224-WA0052_0_7980.jpg,0.44419298,0.6354775,0.0,3.564982,0.16681819,2.813469,4.535522,-4.323857,-1.8173326,-1.1860741,-0.12682688,-0.7093739,0.55907285,-1.9578769,-1.0589235
bon,0,data/augmented\bon\aug_IMG-20250224-WA0053_0_1763.jpg,0.5675847,0.73150176,0.0,4.5047855,0.26231778,4.3539076,4.9430895,-2.2773755,2.4771543,-1.8508658,3.9831626,-0.76273084,3.6352463,-0.68036383,0.5282872
bon,0,data/augmented\bon\aug_IMG-20250224-WA0053_0_1993.jpg,0.36873174,0.65992916,0.0,4.6193376,0.06447475,0.74554765,5.1754446,-4.7427144,-5.9898014,3.1555862,0.5949989,0.47063297,2.7236445,-4.529904,-3.3392754
bon,0,data/augmented\bon\aug_IMG-20250224-WA0053_0_2928.jpg,0.40720168,0.60819453,0.0,4.7895107,0.15065205,-0.629581,3.0482864,-2.5535529,0.3604957,3.1709225,-0.8320367,0.57459587,4.0527697,-1.2073929,-1.9960961
bon,0,data/augmented\bon\aug_IMG-20250224-WA0053_0_3523.jpg,0.5462074,0.73283005,0.0,4.185315,0.23981492,4.673338,4.1956906,-2.3601682,3.848194,-1.9760592,3.1781783,1.8322916,2.9699616,-1.9722489,-0.5185492
bon,0,data/augmented\bon\aug_IMG-20250224-WA0053_0_4670.jpg,0.36145353,0.7117039,0.0,4.992312,0.04821339,-1.4390503,9.241489,-2.1251712,-4.568842,1.944645,0.9580687,-0.08170654,4.8044977,-1.5718548,-2.001929
bon,0,data/augmented\bon\aug_IMG-20250224-WA0053_0_683.jpg,0.43412533,0.69071907,0.0,4.8058777,0.13659273,1.2214574,7.550765,-1.4231031,-1.3003596,0.15645675,1.1395022,-0.92583543,3.7445242,-0.44266415,-2.4484906
bon,0,data/augmented\bon\aug_IMG-20250224-WA0053_0_787.jpg,0.39454988,0.6458762,0.0,4.118936,0.10624699,0.771144,5.824182,-3.9862697,-1.871103,-0.20404513,-0.7786736,0.80550283,1.8267711,-1.9442776,-1.0908068
bon,0,data/augmented\bon\aug_IMG-20250224-WA0053_0_8015.jpg,0.46156844,0.6584209,0.0,4.2734537,0.16430931,2.6352673,3.1656618,-5.0282087,-1.49287,-0.38611943,-0.15500505,-0.23174554,2.315171,-6.2356343,-1.2866253
bon,0,data/augmented\bon\aug_IMG-20250224-WA0053_0_8302.jpg,0.4220603,0.63082325,0.0,4.068265,0.1431698,3.6254456,3.1802719,-4.9564667,-2.3671157,2.1928318,-0.9865963,1.0533,0.83613527,-5.3855233,-4.2318215
bon,0,data/augmented\bon\aug_IMG-20250224-WA0053_0_8775.jpg,0.47288293,0.678472,0.0,4.8956833,0.1880978,4.597454,3.0013626,-6.0628667,-0.8960743,-0.6612643,-1.3887078,-1.6237596,1.452866,-6.6367664,-2.649336
bon,0,data/augmented\bon\aug_IMG-20250224-WA0054_0_1235.jpg,0.39754266,0.6690221,0.0,4.724176,0.09498422,0.9231335,6.4581466,-2.095353,-0.2414137,-1.1639193,-0.3136419,-1.9181083,5.070703,-2.457436,-2.2143807
bon,0,data/augmented\bon\aug_IMG-20250224-WA0054_0_1672.jpg,0.3174231,0.65482384,0.0,4.4296455,0.03203608,-1.9368869,8.914978,-0.9103171,-3.9142728,0.16369483,-0.11032475,0.7627912,3.9090114,0.17930542,-1.426196
bon,0,data/augmented\bon\aug_IMG-20250224-WA0054_0_3168.jpg,0.3850301,0.65479845,0.0,3.9839888,0.09033466,0.6198394,6.393004,-2.0285287,-3.9264112,0.15215597,1.9893949,2.669211,3.8738093,-0.80180484,-1.4491948
bon,0,data/augmented\bon\aug_IMG-20250224-WA0054_0_320.jpg,0.37676996,0.6697212,0.0,4.4502077,0.076335356,-0.084800415,5.3734856,0.29900488,-2.3071547,-1.1925988,-0.37347198,1.5189873,5.1053724,-2.114244,-1.8232497
bon,0,data/augmented\bon\aug_IMG-20250224-WA0054_0_3404.jpg,0.39605144,0.6382286,0.0,4.1022515,0.11161889,1.649579,5.9598184,-4.46677,-1.9094208,1.1289327,-0.6497637,2.1401806,2.954514,-2.6735022,-1.3107423
bon,0,data/augmented\bon\aug_IMG-20250224-WA0054_0_4505.jpg,0.36049527,0.6480389,0.0,4.128144,0.058276717,0.8566643,7.2423134,-2.741686,-2.8196816,-0.17905828,-0.5300284,0.35273486,3.1013916,-2.672054,-3.731786
bon,0,data/augmented\bon\aug_IMG-20250224-WA0054_0_4567.jpg,0.42932892,0.70125794,0.0,4.3782845,0.08980219,-0.7174219,9.362952,-3.2727482,-3.1430626,0.9191462,2.9888704,-1.1936842,0.1379204,0.3699994,-1.6400671
bon,0,data/augmented\bon\aug_IMG-20250224-WA0054_0_685.jpg,0.4636008,0.6080657,0.0,3.4799683,0.18965465,3.0362973,0.96541846,-3.1066341,0.8693537,-0.4103283,-0.5686088,-0.7744527,1.1589137,-1.7534845,-3.1589227
bon,0,data/augmented\bon\aug_IMG-20250224-WA0054_0_8397.jpg,0.3617276,0.65601146,0.0,4.4456573,0.063925065,-1.8336549,6.9534626,-0.26697573,-1.9613836,1.9341443,-0.23683605,-0.8279738,3.7651663,-0.6333038,-2.153458
bon,0,data/augmented\bon\aug_IMG-20250224-WA0054_0_9813.jpg,0.42980003,0.6869434,0.0,4.6230607,0.12939787,3.051008,5.98282,-4.47874,-0.36312416,-1.8711104,-0.17144981,-0.8065732,2.7211607,-2.8873262,-2.7123597
bon,0,data/augmented\bon\aug_IMG-20250224-WA0055_0_2487.jpg,0.46095324,0.7175237,0.0,4.6970515,0.14227825,5.1516023,6.864211,-2.0847971,-1.476826,-0.82539153,1.519693,-0.33875582,2.5071385,-2.6458828,-1.1703428
bon,0,data/augmented\bon\aug_IMG-20250224-WA0055_0_3811.jpg,0.35640472,0.6567865,0.0,4.918717,0.05253865,-0.20776562,6.5180845,-3.5878546,-4.438672,0.7533544,-0.8916759,-3.7420456,1.970123,-4.4952316,-3.1785493
bon,0,data/augmented\bon\aug_IMG-20250224-WA0055_0_4220.jpg,0.3787369,0.6118884,0.0,4.8004513,0.09855586,2.9670956,3.0966527,-4.7541647,-3.131071,1.1423926,-1.1615596,1.4589522,3.2096982,-5.4857917,-2.5101833
bon,0,data/augmented\bon\aug_IMG-20250224-WA0055_0_5008.jpg,0.4983367,0.65904003,0.0,4.120108,0.23922816,3.250638,3.3726854,-2.2395227,0.6166817,-2.308848,2.3423235,1.3068194,3.2995422,-1.5987891,-2.115577
bon,0,data/augmented\bon\aug_IMG-20250224-WA0055_0_6324.jpg,0.5033681,0.682091,0.0,4.4469056,0.23239717,6.9586644,1.7715216,-6.1911077,4.664873,-1.4676659,-2.034593,2.2077024,3.4870715,-2.4046073,-1.3720541
bon,0,data/augmented\bon\aug_IMG-20250224-WA0055_0_7249.jpg,0.39236456,0.5912286,0.0,4.439948,0.14096257,4.126096,1.8718588,-4.6952863,-2.2153273,1.4895389,-1.3679585,0.9760082,3.031215,-4.6199956,-2.6167567
bon,0,data/augmented\bon\aug_IMG-20250224-WA0055_0_7397.jpg,0.36321563,0.7209178,0.0,4.937733,0.040436666,-2.0637038,8.739977,-1.1692309,-1.6766607,0.45034102,1.4902792,1.5832856,5.728549,-2.1922596,-1.5378596
bon,0,data/augmented\bon\aug_IMG-20250224-WA0055_0_7525.jpg,0.48496222,0.6497538,0.0,3.4987352,0.21663186,6.3307915,4.5770874,-2.4812586,1.6645883,-0.17933683,-1.6819677,-1.4981076,1.500949,-2.0027027,-1.8468446
bon,0,data/augmented\bon\aug_IMG-20250224-WA0055_0_8353.jpg,0.47329798,0.6645597,0.0,4.1547804,0.20775382,5.687421,3.8673272,-3.6936576,0.6082235,-1.8109071,0.8292569,3.3091352,3.1040769,-2.2004263,-1.8757068
bon,0,data/augmented\bon\aug_IMG-20250224-WA0055_0_9831.jpg,0.49810869,0.72471,0.0,4.358294,0.17131075,6.0942883,4.0714197,-4.9716,2.7298641,-0.5401469,1.7632524,-1.7819132,5.2306557,-3.2979906,-1.5861981
bon,0,data/augmented\bon\aug_IMG-20250224-WA0056_0_124.jpg,0.39963952,0.6369047,0.0,3.9308178,0.121301115,4.6529207,1.9069592,-5.567937,0.17868647,-0.31717148,-3.099627,0.5195656,3.370413,-3.8905568,-2.430191
bon,0,data/augmented\bon\aug_IMG-20250224-WA0056_0_1331.jpg,0.45141688,0.7153431,0.0,4.604114,0.13127568,4.3032007,6.2409964,-4.1796527,0.27410033,-0.4450924,1.7526205,2.6771986,5.5674086,-0.694765,-2.6501608
bon,0,data/augmented\bon\aug_IMG-20250224-WA0056_0_2314.jpg,0.46395183,0.6622315,0.0,4.056038,0.17732966,5.079927,2.185549,-5.319278,-0.1255449,-0.21465676,-1.4123625,-0.652112,2.96045,-5.310019,-2.0052865
bon,0,data/augmented\bon\aug_IMG-20250224-WA0056_0_2325.jpg,0.4787732,0.7099426,0.0,4.665789,0.18101203,5.293716,6.3798804,-6.16691,-0.96479577,-1.6614296,1.1760331,1.4201907,0.49312067,-1.6471782,-0.31681263
bon,0,data/augmented\bon\aug_IMG-20250224-WA0056_0_3072.jpg,0.31702942,0.65266746,0.0,4.385525,0.020641819,-2.8012695,7.949895,-2.043927,-4.3241653,2.71978,-0.6617476,1.3853834,2.456578,-1.682388,-2.8283772
bon,0,data/augmented\bon\aug_IMG-20250224-WA0056_0_4404.jpg,0.36535725,0.66552746,0.0,5.1909714,0.06609395,1.5236785,6.8146076,-3.9899755,-1.3022671,-0.04609862,-0.8090962,-1.944381,4.403007,-0.76194644,-3.26604
bon,0,data/augmented\bon\aug_IMG-20250224-WA0056_0_4710.jpg,0.4217454,0.709852,0.0,4.5342746,0.108227775,1.8891578,5.7999516,-4.704581,-0.40326977,-2.1968849,1.064054,4.0832806,2.8957126,-2.541334,-2.2676094
bon,0,data/augmented\bon\aug_IMG-20250224-WA0056_0_7340.jpg,0.41209778,0.7674736,0.0,4.9600644,0.071749866,0.4080369,10.416535,-1.7955674,-1.4110348,-0.43964392,3.0981677,2.3953915,4.8920617,-0.10325776,-0.9638554
bon,0,data/augmented\bon\aug_IMG-20250224-WA0056_0_7903.jpg,0.41426307,0.611068,0.0,4.19058,0.13173094,-0.50104684,3.0669415,-3.8512695,-0.48036078,-0.6110057,-0.851113,-1.8913915,1.7597867,-4.2145305,-2.8587775
bon,0,data/augmented\bon\aug_IMG-20250224-WA0056_0_9660.jpg,0.40638846,0.6788985,0.0,4.1145744,0.106708236,2.526554,4.938253,-5.978515,-3.8875816,1.9991885,0.072007805,1.4442331,2.6272547,-4.664726,-3.0351527
bon,0,data/augmented\bon\aug_IMG-20250224-WA0057_0_1105.jpg,0.46865645,0.6507965,0.0,3.7322319,0.18802516,5.98993,0.96473676,-2.6025898,0.34830925,-1.3339807,0.119359106,0.31741124,5.0843663,-3.3826582,-0.9533853
bon,0,data/augmented\bon\aug_IMG-20250224-WA0057_0_198.jpg,0.5195113,0.7171094,0.0,4.181764,0.2040991,7.1651497,4.011388,-1.8970734,-0.18083403,-2.441507,2.919651,1.3014585,3.580075,-2.200497,-1.0009224
bon,0,data/augmented\bon\aug_IMG-20250224-WA0057_0_2807.jpg,0.43257856,0.6166145,0.0,3.928243,0.15704006,6.1601276,3.1414158,-3.9346724,-1.7177111,-2.451178,1.2908982,3.2440233,0.5911392,0.4382886,-2.328683
bon,0,data/augmented\bon\aug_IMG-20250224-WA0057_0_4051.jpg,0.55720925,0.7180864,0.0,4.1462483,0.2623563,9.101417,3.8253899,-1.0950859,0.29807156,-0.7427855,5.0289755,1.1147679,2.3048482,2.090332,-0.91714495
bon,0,data/augmented\bon\aug_IMG-20250224-WA0057_0_4812.jpg,0.5020195,0.68043166,0.0,4.6978574,0.22620605,4.572359,4.2087464,-0.87626064,-0.50876194,0.8900657,1.4847763,-5.987531,1.3186492,-1.927546,-0.66683626
bon,0,data/augmented\bon\aug_IMG-20250224-WA0057_0_7356.jpg,0.607239,0.69710755,0.0,4.0099726,0.36623222,12.061815,-2.043356,-2.0137603,2.5641532,-0.9002224,3.899537,-1.4159639,0.14238532,-1.894838,-0.50235045
bon,0,data/augmented\bon\aug_IMG-20250224-WA0057_0_7456.jpg,0.47148743,0.66349494,0.0,4.3512263,0.20281751,6.143296,2.8553329,-1.7145716,-2.1555223,1.423371,2.070773,2.2421772,1.5998825,-3.3464031,-1.1543812
bon,0,data/augmented\bon\aug_IMG-20250224-WA0057_0_8040.jpg,0.42960984,0.6728785,0.0,4.2957554,0.12871787,3.4286213,6.5588307,-2.1239119,-2.4995308,0.16945976,1.6247051,-4.822475,2.423016,-1.825572,-3.0391893
bon,0,data/augmented\bon\aug_IMG-20250224-WA0057_0_8369.jpg,0.47368813,0.6351395,0.0,3.497439,0.20612341,4.960552,1.226682,-4.2999825,-1.3461331,-3.0253396,0.18660982,2.614565,1.4441849,-1.5674284,-0.44250962
bon,0,data/augmented\bon\aug_IMG-20250224-WA0057_0_8450.jpg,0.48119506,0.7196928,0.0,4.410285,0.15899512,5.3985586,4.922225,-1.3711212,-1.7296119,-1.2826343,2.0501974,1.9305729,3.964255,-1.1210084,-0.17165166
bon,0,data/augmented\bon\aug_IMG-20250224-WA0059_0_2676.jpg,0.45790213,0.6358296,0.0,3.8939064,0.1808714,6.9732113,3.2888145,-5.04234,0.4601845,-2.5022511,-0.9210139,3.7353492,0.90265054,0.5161638,-2.167299
bon,0,data/augmented\bon\aug_IMG-20250224-WA0059_0_2937.jpg,0.5170132,0.65411466,0.0,3.7232225,0.2675925,6.3509035,-0.13198331,-4.0571976,0.9491687,-5.4164996,1.6909794,4.070411,1.9400457,-0.20621672,-1.8133858
bon,0,data/augmented\bon\aug_IMG-20250224-WA0059_0_3696.jpg,0.4012285,0.6882634,0.0,4.435512,0.08239168,2.417123,4.3299623,-1.0920112,-1.5588305,-3.6730564,-0.7281698,1.7642547,6.214519,-1.4589788,-0.42716578
bon,0,data/augmented\bon\aug_IMG-20250224-WA0059_0_4801.jpg,0.43046895,0.63575435,0.0,4.426112,0.153896,6.148228,2.405687,-3.1753774,-5.3926477,-0.81072104,1.1368763,1.6164784,0.753451,-4.2724876,-2.9911332
bon,0,data/augmented\bon\aug_IMG-20250224-WA0059_0_4989.jpg,0.4996565,0.67322516,0.0,4.5679727,0.22696033,9.190713,1.9391925,-3.4185004,-3.535177,-1.199736,1.2217623,1.9810389,0.016633535,-4.6602764,-2.353174
bon,0,data/augmented\bon\aug_IMG-20250224-WA0059_0_720.jpg,0.529434,0.74258244,0.0,4.6334214,0.22424144,7.199801,6.1419406,-1.2847922,-1.4857868,-3.3581815,3.4774117,-2.6137877,3.851379,-0.8996683,-3.2594256
bon,0,data/augmented\bon\aug_IMG-20250224-WA0059_0_7686.jpg,0.52061856,0.69699365,0.0,4.2932897,0.22945389,8.255975,1.816487,-3.223814,2.6904364,-3.6674716,1.8771417,2.51338,2.5351095,0.4649745,0.9738315
bon,0,data/augmented\bon\aug_IMG-20250224-WA0059_0_9484.jpg,0.54653233,0.7395074,0.0,4.1979713,0.2560283,9.885306,1.648879,-3.9714866,2.1084545,-2.7632751,2.609669,1.2121187,2.7908516,-1.7326303,0.72490406
bon,0,data/augmented\bon\aug_IMG-20250224-WA0059_0_9505.jpg,0.5011948,0.6670492,0.0,4.359072,0.23784398,4.4067516,4.775468,-4.7520313,-0.3289439,-2.1564384,1.5848695,-4.201047,1.0069691,-2.7833245,-1.4146261
bon,0,data/augmented\bon\aug_IMG-20250224-WA0059_0_9636.jpg,0.44373304,0.6367477,0.0,3.9839165,0.15619487,5.479863,2.5288305,-2.0706873,-2.364974,-3.664528,1.338437,1.9159744,1.2332594,-3.5511909,-1.0497751
bon,0,data/augmented\bon\aug_IMG-20250224-WA0062_0_1818.jpg,0.5176232,0.64856726,0.0,4.8436728,0.27603614,9.159278,1.3318539,-3.678273,-3.3482246,2.9182498,2.7489138,2.4332588,-2.2029028,0.56801176,-4.659456
bon,0,data/augmented\bon\aug_IMG-20250224-WA0062_0_4687.jpg,0.5136961,0.6740327,0.0,4.895919,0.26169842,8.673875,2.759327,-2.868495,-3.83198,3.7456548,2.6200402,0.48457348,-0.36019215,1.7490233,-4.054204
bon,0,data/augmented\bon\aug_IMG-20250224-WA0062_0_5087.jpg,0.49433747,0.6509549,0.0,4.739357,0.21993227,7.520891,4.4069257,-3.9582548,-0.4315632,3.1731508,1.5553137,0.9703361,0.0086713005,1.3756381,-3.8105006
bon,0,data/augmented\bon\aug_IMG-20250224-WA0062_0_7074.jpg,0.4332637,0.65831184,0.0,4.5991073,0.14772856,3.7173047,6.0982184,-2.1187627,-3.6904242,4.690931,1.3923675,1.3983859,0.006392974,1.2614932,-4.1109347
bon,0,data/augmented\bon\aug_IMG-20250224-WA0062_0_7850.jpg,0.4201517,0.60757416,0.0,4.416496,0.15221035,4.985467,1.0441025,-4.7761884,-3.3484454,4.2824564,-1.5807343,1.63301,-0.37839603,3.0178678,-1.9159145
bon,0,data/augmented\bon\aug_IMG-20250224-WA0062_0_7913.jpg,0.43439358,0.7152766,0.0,4.907938,0.090770796,4.2311335,8.802208,-2.5464275,-3.969091,4.9778275,1.4923209,2.2657363,-1.0163016,2.0268555,-3.4949207
bon,0,data/augmented\bon\aug_IMG-20250224-WA0062_0_8044.jpg,0.48124868,0.68476963,0.0,4.8925986,0.19613221,7.488336,4.226012,-1.5885466,-4.9714165,2.224461,3.0308669,-1.0557743,-1.4691359,-0.62256944,-3.2650595
bon,0,data/augmented\bon\aug_IMG-20250224-WA0062_0_8397.jpg,0.55092704,0.62584776,0.0,3.5152,0.30494028,9.476451,-1.1165107,-3.9644644,2.448186,2.5057523,-2.4105763,2.6013892,0.06642396,3.098802,-1.3834168
bon,0,data/augmented\bon\aug_IMG-20250224-WA0062_0_8605.jpg,0.5390514,0.66825676,0.0,4.34638,0.26451218,10.940773,0.6166424,-3.3050432,-2.7822037,2.04645,1.6901044,2.1523314,-2.4767468,-0.022304727,-3.4332407
bon,0,data/augmented\bon\aug_IMG-20250224-WA0062_0_913.jpg,0.452843,0.65323406,0.0,4.5009527,0.15996331,6.9321036,2.5392118,-5.151735,-2.8084455,3.2086728,1.3803713,4.8903494,-2.6419907,0.6060324,-2.9734805
bon,0,data/augmented\bon\aug_IMG-20250224-WA0063_0_1313.jpg,0.45755848,0.68576103,0.0,4.9263163,0.15902887,4.357714,6.22281,0.19311345,-2.2720437,1.3474399,1.7804168,-3.217673,0.5838426,4.5032363,-4.345065
bon,0,data/augmented\bon\aug_IMG-20250224-WA0063_0_2413.jpg,0.50585717,0.69122547,0.0,4.085759,0.19297743,10.321002,2.4158552,-2.7872179,-4.2284822,2.2353015,1.9216913,0.51788116,-3.3203285,-0.043482073,-4.360194
bon,0,data/augmented\bon\aug_IMG-20250224-WA0063_0_2661.jpg,0.5751101,0.66908514,0.0,4.016231,0.31565726,11.477385,1.1337656,-4.793694,-0.07406093,3.8624701,-0.014753092,0.3699236,-2.1770105,-2.9360256,-4.9152164
bon,0,data/augmented\bon\aug_IMG-20250224-WA0063_0_316.jpg,0.53190917,0.6431162,0.0,4.376188,0.28717703,6.7531157,2.0314603,-3.965588,0.57814497,4.281564,-1.7980952,-0.75009894,-2.9703345,3.955477,0.62108165
bon,0,data/augmented\bon\aug_IMG-20250224-WA0063_0_4674.jpg,0.5145833,0.6634753,0.0,4.1934657,0.2511466,7.477649,3.7705421,-4.142997,-2.5349848,2.8623059,1.5446275,1.9096216,-3.424216,0.3361504,-2.8866813
bon,0,data/augmented\bon\aug_IMG-20250224-WA0063_0_611.jpg,0.5551078,0.63092417,0.0,3.6142273,0.33108717,10.336957,-1.4746071,-3.7093203,1.5234305,2.4238033,-0.41749322,1.073733,-1.778172,1.5000358,-5.085929
bon,0,data/augmented\bon\aug_IMG-20250224-WA0063_0_712.jpg,0.60734636,0.667177,0.0,4.3409505,0.36983678,11.263689,1.6833271,-2.766905,-2.5399828,3.6347477,1.7336699,1.6092006,-4.9109797,3.0922313,-2.8391635
bon,0,data/augmented\bon\aug_IMG-20250224-WA0063_0_7626.jpg,0.48860812,0.63007265,0.0,4.046765,0.2340802,5.474726,3.936727,-4.4354253,-1.3161005,3.80286,0.2646986,-3.1507804,0.33862278,0.9837253,-4.8138213
bon,0,data/augmented\bon\aug_IMG-20250224-WA0063_0_9420.jpg,0.3687366,0.6751057,0.0,5.1008263,0.050585195,1.9439868,8.048009,-0.910867,-6.714693,4.9623013,-0.25703543,-1.6620797,1.8888566,2.2804308,-4.5672145
bon,0,data/augmented\bon\aug_IMG-20250224-WA0063_0_995.jpg,0.53288686,0.68654734,0.0,4.5248713,0.27362132,6.361221,1.1378999,-0.31488243,0.68257284,4.6826444,1.9737628,-2.606043,0.79152673,3.100494,-1.0102226
bon,0,data/augmented\bon\aug_IMG-20250224-WA0064_0_1098.jpg,0.50324035,0.6876553,0.0,5.4116416,0.21944392,7.5519176,5.003993,-0.029630888,-3.3336563,3.0445843,2.489355,0.17509317,-0.33339235,0.6814844,-3.8762498
bon,0,data/augmented\bon\aug_IMG-20250224-WA0064_0_2180.jpg,0.5518507,0.6562877,0.0,4.245655,0.31733757,9.740442,1.9726489,-1.8368095,-2.969173,2.917832,2.48955,0.9843465,-2.2995281,2.7858837,-3.909882
bon,0,data/augmented\bon\aug_IMG-20250224-WA0064_0_2193.jpg,0.54889214,0.693179,0.0,5.0264034,0.25611264,11.410406,1.9947902,-5.127339,-0.32845053,1.9575323,0.93374664,0.1437693,-2.441712,1.405526,-2.206991
bon,0,data/augmented\bon\aug_IMG-20250224-WA0064_0_3069.jpg,0.46501836,0.66202825,0.0,4.0065947,0.17447434,2.6866732,3.843833,0.32098612,1.156511,3.459356,-0.463791,-2.5683672,1.3672956,3.1162012,-1.7839327
bon,0,data/augmented\bon\aug_IMG-20250224-WA0064_0_4868.jpg,0.44106826,0.6617888,0.0,4.9092245,0.13250178,4.4013066,3.7316198,-2.594893,-4.6588655,4.970166,0.08587482,-5.701224,0.77588916,-0.60396,-6.220853
bon,0,data/augmented\bon\aug_IMG-20250224-WA0064_0_5755.jpg,0.46821684,0.64545095,0.0,4.2767973,0.18759346,5.5259275,4.1507754,-2.7696495,-4.017174,5.563697,0.1890711,-2.2021654,-1.1062431,1.0570259,-5.3016963
